publication,author,date,unit_deny_reason,reason,"note_on_sourcing:_i_got_this_information_through_a_request_to_the_tdcj_public_information_office,_received_10/14/2022.",year,month,day,state_arc
...AND THEIR MEMORY WAS A BITTER TREE,"HOWARD, ROBERT",2016-08-19,PAGES 81 & 369 SEXUALLY EXPLICIT IMAGE,PGS 81 & 369 SEXUALLY EXPLICIT IMAGE,,2016,8,19,tx
"(NON)CONFORM RUSSIAN AND SOVIET ART 1958-1995,","THIEMANN, BARBARA",2012-09-10,PAGE 422 PHOTO OF A NUDE CHILD,PG 422 NUDE CHILD,,2012,9,10,tx
SCUSE ME WHILE I KISS THE SKY,"HENDERSON, DAVID",2019-07-17,PG 294 SEXUALLY EXPLICIT IMAGE,PG 294 SEXUALLY EXPLICIT IMAGE,,2019,7,17,tx
SCUSE ME WHILE I KISS THE SKY,"HENDERSON, DAVID",2010-01-29,PAGE 310 CONTAINS SEXUALLY EXPLICIT IMAGES,PAGE 9 OF PHOTO INSERT CONTAINS SEXUALLY EXPLICIT IMAGES,,2010,1,29,tx
A BLACK GAZE,"CAMPT, TINA",2021-09-08,"PAGES 28, 30, 35 SEXUALLY EXPLICIT IMAGES","PAGES 28, 30 & 35 CONTAIN SEXUALLY EXPLICIT IMAGES",,2021,9,8,tx
A BLACK ROSE THRIVED,"RICHEY, ROCHELLE",2018-08-15,AGE 33 CONTAINS THE GRAPHIC DEPICTION OF RAPE OF A MINOR. AGE ON PAGE 32,PG 33 RAPE OF MINOR (AGE ON PAGE 32),,2018,8,15,tx
A BRIEF HISTORY OF ALBUM COVERS,"DRAPER, JASON",2020-12-31,"PAGES 51 & 245 NUDE CHILD; PAGES 81, 115, 141 SEXUALLY EXPLICIT IMAGE",PAGES 5 & 245 NUDE CHILD,,2020,12,31,tx
A BRIEF HISTORY OF MANGA,"MCCARTHY, HELEN",2014-10-15,PAGE 33 CONTAINS SEXUALLY EXPLICIT IMAGE,PG 33 SEXUALLY EXPLICIT IMAGE,,2014,10,15,tx
A BRIEF HISTORY OF VICE,"EVANS, ROBERT",2016-09-23,AGES 212 AND 213 CONTAIN SEXUALLY EXPLICIT IMAGES,PG 212 CONTAINS A SEXUALLY EXPLICIT IMAGE,,2016,9,23,tx
A CELEBRATION OF CHILDHOOD,"SUDELL, HELEN",2015-01-21,G.46 CONTAINS A PHOTO OF A NUDE CHILD,PG 46 NUDE CHILD,,2015,1,21,tx
A CENTAUR'S LIFE 10,"MURAYAMA, KEI",2018-06-25,AGES 71-74 CONTAIN SEXUALLY EXPLICIT IMAGES,PGS 71-74 SEXUALLY EXPLICIT IMAGES,,2018,6,25,tx
A CENTAUR'S LIFE 12,"MURAYAMA, KEI",2019-02-12,"PGS 14, 17, 18, & 19 SEXUALLY EXPLICIT IMAGES","PGS 14, 17, 18 & 19 SEXUALLY EXPLICIT IMAGES",,2019,2,12,tx
A CENTAUR'S LIFE 13,"MURAYAMA, KEI",2019-02-12,"PGS 38, 39 & 54 SEXUALLY EXPLICIT IMAGES","PGS 38, 39 & 54 SEXUALLY EXPLICIT IMAGES",,2019,2,12,tx
A CENTAUR'S LIFE 14,"MURAYAMA, KEI",2019-02-12,"PGS 6, 7, 8, 9 & 10 SEXUALLY EXPLICIT IMAGES","PGS 6, 7, 8, 9 & 10 SEXUALLY EXPLICIT IMAGES",,2019,2,12,tx
A CENTAUR'S LIFE 15,"MURAYAMA, KEI",2019-02-12,"PGS 4, 5, 9, 10, & 12 SEXUALLY EXPLICIT IMAGES","PGS 4, 5, 9, 10 & 12 SEXUALLY EXPLICIT IMAGES",,2019,2,12,tx
A CENTAUR'S LIFE 2,"MURAYAMA, KEI",2018-09-11,"AGES 39,41,42 AND 43 CONTAINS SEXUALLY EXPLICIT IMAGES",PGS 41 & 42 SEXUALLY EXPLICIT IMAGE,,2018,9,11,tx
A CENTAUR'S LIFE 6,"MURAYAMA, KEI",2016-01-04,"AGES 44,49/50,51/52 SEXUALLY EXPLICIT IMAGES..","PGS 44, 49, 50, 51 & 52 SEXUALLY EXPLICIT IMAGES",,2016,1,4,tx
A CERTAIN SCIENTIFIC ACCELERATOR V1,"KAMACHI, KAZUMA",2017-08-21,PAGE 57 SEXUALLY EXPLICIT IAMGES,PG 57 SEXUALLY EXPLICIT IMAGE,,2017,8,21,tx
A CHILD IS BORN,"NILSSON, LENNART",2008-09-19,AGES: 158 & 205 NUDE CHILD,PGS 158 & 205 NUDE CHILD,,2008,9,19,tx
A CHILD OF A CRACKHEAD,"SPEIGHT, SHAMEEK",2012-11-13,RAPE PGS 42-45 AGE PAGE 42,PGS 42-45 RAPE,,2012,11,13,tx
A CHILD OF A CRACKHEAD 2 A FIGHT TO STAY ALIVE,"SPEIGHT, SHAMEEK",2012-11-13,AGES 25 AND 26 CONTAINS RAPE,PGS 25 & 26 RAPE,,2012,11,13,tx
A CHILD OF A CRACKHEAD 3 THE DEATH OF BLACK ICE,"SPEIGHT, SHAMEEK",2012-11-13,PAGE 140 RAPE,PG 140 RAPE,,2012,11,13,tx
A CHILD OF A CRACKHEAD 4,"SPEIGHT, SHAMEEK",2021-04-23,"PAGE 64, 65, 70 71 RAPE","PAGES 66, 67 & 68 RAPE",,2021,4,23,tx
A CLASH OF KINGS GRAPHIC NOVEL V2,"MARTIN, GEORGE",2020-12-04,"PAGES 6, 7, 123, 163 SEXUALLY EXPLICIT IMAGES","PAGES 6, 7, 123 & 163 SEXUALLY EXPLICIT IMAGES",,2020,12,4,tx
A CLOCKWORK MURDER,"JACKSON, STEVE",2021-04-15,PAGES 112-118 RAPE,PAGE 112 & 113 RAPE,,2021,4,15,tx
A CLOCKWORK ORANGE,"KRAMER, PETER",2012-09-25,"PAGES: 21, 39, 43 & 54 CONTAIN SEXUALLY EXPLICIT IMAGES","PGS 21, 39, 43 & 54 SEXUALLY EXPLICIT IMAGES",,2012,9,25,tx
A CLOCKWORK ORANGE,"KUBRICK, STANLEY",2018-11-20,"AGES 4, 29, 45, 52, & 53 SEXUALLY EXPLICIT IMAGES","PGS 4, 29, 45, 52 & 53 SEXUALLY EXPLICIT IMAGES",,2018,11,20,tx
A CLUE FROM THE GRAVE,"PENCE, IRENE",2001-06-22,PAGE: 297 RAPE,PG 297 RAPE,,2001,6,22,tx
A COLD DECEMBER WITH JACKIE SNOW,"SCOTT, BARBIE",2020-06-24,AGE 3 INCEST STEP-FATHER/DAUGHTER,PAGE 3 INCEST STEPFATHER/DAUGHTER,,2020,6,24,tx
A COLLECTOR'S GUIDE TO UNITED STATES COMBAT,"CANFIELD, BRUCE",2013-03-04,PAGE 142 CONTAINS BREAKDOWN OF WEAPONS,PG 142 BRK WPN,,2013,3,4,tx
A CRIMINAL LOVE,"MILLS, K.C.",2016-06-21,"PAGE 264 CONTAINS INDECENCY WITH A MINOR/ AGE PG 5, PAGE 267 CONTAINS",PG 264 CONTAINS INDECENCY W/MINOR,,2016,6,21,tx
A CURIOUS HISTORY OF SEX,"LISTER, KATE",2021-08-03,"PAGES 105, 177, 178 SEXUALLY EXPLICIT IMAGES","PAGES 105, 177 & 178 CONTAIN SEXUALLY EXPLICIT IMAGES",,2021,8,3,tx
A DANGEROUS LIAISON ONE WOMAN'S JOURNEY INTO A WOR,"DE BORCHGRAVE, SHARI",2021-02-23,PAGES 196-199 INCEST BRO/SIS; PAGES 232-234 RAPE,PAGES 196 & 197 INCEST BRO/SIS; PAGES 232-234 RAPE,,2021,2,23,tx
A DARK NIGHT IN AURORA,"REID, WILLIAM",2020-01-15,INSERT PAGE 4 BETWEEN PAGES 132 & 133 INFORMATION TO MANUFACTURE EXPL OSIVES,PAGE 4 OF INSERT (B/W PAGES 132 & 133) CONTAINS THE MANUFACTURE OF EXPLOSIVES,,2020,1,15,tx
A DEADLY SILENCE,"KLEIMAN, DENA",2002-02-11,PAGES: 192 & 233 INC FTR/DTR,PGS 192 & 233 INC FTR/DTR,,2002,2,11,tx
A DEEP DARK SECRET,"ROBY, KIMBERLA",2019-10-23,"PAGES 10, 11, & 31 INCEST FATHER DAUGHTER","PGS 10, 11 & 31 INCEST (FTR/DTR)",,2019,10,23,tx
A DEFENSE FOR THE DEAD (P),"FREDRICKSON, MICHAEL",2013-01-08,"PAGES 17, 21 NEC",PAGES: 17 & 20 NECCROPHILIA,,2013,1,8,tx
A DOG TRIES TO KISS THE SKY,"PETERS, KEIR",2009-03-18,AGE 50 CONTAINS GRAPHIC DEPISTION OF BEASTIALITY,PG 50 BEASTIALITY,,2009,3,18,tx
A DOLLAR OUTTA FIFTEEN CENT,"MCGILL, CAROLINE",2015-09-09,REASON D: PAGES 411 & 412 CONTAIN RAPE. PAGES 410 & 412 CONTAIN MATERI AL OF A RACIAL NATURE,PAGE 408 CONTAINS RAPE,,2015,9,9,tx
A DOLLAR OUTTA FIFTEEN CENT PART II,"MCGILL, CAROLINE",2014-03-26,PG 211 AGE OF MINOR 215-218 RAPE OF A MINOR,PAGE 215-217 INDECENCY WITH CHILD,,2014,3,26,tx
